name;institution;qualis;issn
REEN;Ânima Educação;B1;1984-3372
RAHIS;Universidade Federal de Minas Gerais – UFMG;B1;2177-2754

Rosa dos Ventos;Universidade de Caxias do Sul - UCS;B1;2178-9061
RITUR;Universidade Federal de Alagoas – UFAL;B1;2236-6040
Informação@Profissões;Universidade Estadual de Londrina - UEL;B1;2317-4390
Dos Algarves;Dos Algarves: Tourism, Hospitality & Management Journal;B1;2182-5580
ENIAC;Centro Universitário Eniac;B1;2316-2341
PBCIB;Universidade Federal da Paraíba – UFPB;B1;1981-0695
Informática na Educação;Universidade Federal do Rio Grande do Sul - UFRGS;B1;1982-1654
Ciência da Informação em Revista;Universidade Federal de Alagoas – UFAL;B1;2358-0763
Informação Arquivística;Associação dos Arquivistas do Estado do Rio de Janeiro (AAERJ);B1;2316-7300
REVISTA CESUMAR;Unicesumar;B2;1516-2664
Comunicação e Informação;Universidade Federal de Goiás – UFG;B2;2317-675X
Revista FSA;Centro Universitário Santo Agostinho;B2;2317-2983
SODEBRÁS;SODEBRAS Online Journal Organization;B2;1809-3957
RAOIT;Universidade do Grande Rio;B2;1980-6965
RBEcotur;Universidade Federal de São Paulo - Unifesp;B2;1983-9391
Amerika;Amerika est une revue semestrielle;B2;2107-0806
RIC;Editora Alumni;B2;2236-210X
PRAGMATIZES;Universidade Federal Fluminense - UFF;B2;2237-1508
Biblioteca escolar em revista;Universidade de São Paulo – USP;B2;2238-5894
NEGÓCIOS EM PROJEÇÃO;Faculdade Projeção Brasília;B2;2178-6259
Diálogos Interdisciplinares;Sociedade Educacional Braz Cubas;B2;2317-3793
Informação e Tecnologia (Itec);Associação Nacional de Pesquisa e Pós-Graduação em Ciência da Informação;B2;2358-3908
REBECIN;Associação Brasileira de Educação em Ciência da Informação;B2;2358-3193
Biblos;Universidade Federal do Rio Grande – FURG;B3;0102-4388
Revista Museu;Clube de Ideias Comunicação e Sistemas;B3;1981-6332
RIC@;Portal de Periódicos ÂNIMA;B3;1980-7031
Revista IberoAmericana de Ciência da Informação;Universidade de Brasília - UnB;B3;1983-5213
BiblioCanto;Universidade Federal do Rio Grande do Norte - UFRN;B3;2447-7842
CM;Universidade Federal da Paraíba – UFPB;B3;1953-5930
Museologia e Patrimônio;Museu de Astronomia e Ciências Afins - MAST;B3;1984-3917
LIBERTAS;Faculdade Minas Gerais - FAMIG;B3;2236-5354
Múltiplos olhares em Ciência da Informação;Universidade Federal de Minas Gerais – UFMG;B3;2237-6658
EDICIC;Associação de Educação e Investigação em Ciência da Informação da Iberoamérica e Caribe;B3;2236-5753
Intexto;Universidade Federal de Pernambuco – UFP;B3;2318-4183
Gestão & Aprendizagem;Universidade Federal da Paraíba – UFPB;B3;2526-3102

RACIn;Universidade Estadual da Paraíba – UEPB;B3;2317-9708
Archeion;Universidade Federal da Paraíba – UFPB;B3;2318-6186
CAJUR;cadernos de informação jurídica;B3;2359-0033
RISC;Universidade Federal do Rio Grande do Norte - UFRN;B3;2447-0198
DataGramaZero;Aldo de Albuquerque Barreto Rio de Janeiro;B3;1517-3801
Revista Folha de Rosto;Universidade Federal do Cariri – UFCA;B3;2447-0120

MEPAD;Universidade Federal da Paraíba – UFPB;B3;2525-3867
TURyDES;Revista de Investigación en Turismo y desarrollo local;B3;1988-5261
BISS;Pensoft Publishers;B3;2535-0897
Revista Fontes Documentais;Instituto Federal de Sergipe - IFS;B3;2595-9778
BJHR;Brazilian Journal of Health Review;B3;2595-6825
ConCI;Universidade Federal de Sergipe - UFS;B3;2595-4768
Gepros;Universidade Estadual Paulista – UNESP;B4;1984-2430
Gestão Industrial;Universidade Federal do Paraná – UFPR;B4;1808-0448
CRB8 – Digital;Conselho Regional de Biblioteconomia – São Paulo;B4;2177-1278
Competência;Revista da Educação Superior do Senac -RS;B4;2177-4986
AWARI;Universidade Federal de Santa Catarina – UFSC;B4;2675-522X
Espacios (Caracas);revista Espacios (Caracas);C;0798-1015
REVISTA Z CULTURAL;Universidade Federal do Rio de Janeiro;C;1980-9921
BJD;Brazilian Journal of Development;C;2525-8761
AJBSR;American Journal of Biomedical Science & Research;C;2642-1747
